,,c0,c0,c0,c0,c0,h0,h0,h0,h0,h0,h1,h1,h1,h1,h1,h2,h2,h2,h2,h2,op,op,op,op,op,all,all,all,all,all
error_type,,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3
model_seed,error_profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2920,LIM_02-6404,0.8786,0.9891,0.8701,0.9891,0.9891,0.9893,0.9893,0.9898,0.9883,0.9891,0.9893,0.9891,0.9896,0.9893,0.9896,0.9766,0.9893,0.9766,0.9891,0.9891,0.9875,0.9891,0.9867,0.9891,0.9888,0.8544,0.9898,0.8503,0.9888,0.9888
2920,LIM_02-9387,0.7805,0.9891,0.7758,0.9891,0.9891,0.9893,0.9891,0.9891,0.9885,0.9893,0.9898,0.9891,0.9896,0.9893,0.9898,0.976,0.9891,0.976,0.9891,0.9893,0.9849,0.9891,0.988,0.9885,0.9893,0.7607,0.9891,0.7607,0.9883,0.9904
2920,LIM_05-2188,0.6422,0.9893,0.6747,0.9888,0.9893,0.9901,0.9891,0.9888,0.9891,0.9893,0.9888,0.9891,0.9893,0.9896,0.9893,0.9539,0.9891,0.957,0.9896,0.9896,0.9852,0.9891,0.9857,0.9878,0.9885,0.6034,0.9893,0.6365,0.9883,0.9891
2920,LIM_05-3987,0.7042,0.9893,0.7068,0.9888,0.9891,0.9896,0.9888,0.9885,0.9891,0.9891,0.9885,0.9891,0.9891,0.9891,0.9893,0.9578,0.9885,0.9578,0.9888,0.9893,0.9833,0.9891,0.9849,0.9872,0.9888,0.6654,0.9891,0.663,0.987,0.9888
2920,LIM_05-4981,0.7667,0.9893,0.7331,0.9893,0.9888,0.988,0.9896,0.9885,0.9893,0.9893,0.9893,0.9891,0.9891,0.9901,0.9901,0.9563,0.9896,0.9492,0.9888,0.9901,0.9875,0.9891,0.9865,0.9888,0.9888,0.7219,0.9896,0.6799,0.9883,0.9898
2920,LIM_05-6404,0.6977,0.9891,0.7807,0.9891,0.9888,0.9893,0.9898,0.9888,0.9893,0.9898,0.9898,0.9896,0.9893,0.9898,0.9891,0.9552,0.9891,0.9544,0.9883,0.9891,0.9841,0.9891,0.9852,0.9878,0.9883,0.6594,0.9904,0.7406,0.9875,0.9883
2920,LIM_05-9387,0.6021,0.9888,0.5992,0.9893,0.9885,0.9888,0.9893,0.9885,0.9885,0.9893,0.9896,0.9896,0.9891,0.9888,0.9904,0.9534,0.9891,0.9586,0.9888,0.9904,0.9849,0.9891,0.982,0.987,0.9885,0.5539,0.9896,0.5544,0.987,0.9893
2920,LIM_10-2188,0.4349,0.9891,0.4779,0.9891,0.9891,0.9878,0.9893,0.9891,0.9891,0.9898,0.9901,0.9896,0.9893,0.9898,0.9898,0.9229,0.9888,0.9276,0.9885,0.9883,0.9805,0.9891,0.9792,0.9883,0.9878,0.3846,0.9893,0.4208,0.9888,0.988
2920,LIM_10-3987,0.5758,0.9893,0.5549,0.9891,0.9888,0.9891,0.9893,0.9875,0.9896,0.9898,0.9893,0.9909,0.9898,0.9891,0.9896,0.9328,0.9891,0.9271,0.9893,0.9896,0.9776,0.9891,0.9815,0.9867,0.9875,0.5104,0.9891,0.4836,0.9859,0.988
2920,LIM_10-4981,0.5753,0.9885,0.5534,0.9893,0.9885,0.9891,0.9893,0.9893,0.9896,0.9896,0.9896,0.9901,0.9898,0.9893,0.9901,0.9214,0.9893,0.9232,0.9896,0.9893,0.9826,0.9891,0.9844,0.9885,0.988,0.5151,0.9898,0.4826,0.9888,0.9891
2920,LIM_10-6404,0.5539,0.9891,0.5583,0.9891,0.9893,0.9898,0.9901,0.9883,0.9906,0.9896,0.9904,0.9891,0.9901,0.9893,0.9901,0.9247,0.9896,0.9219,0.9901,0.9893,0.981,0.9891,0.9859,0.9857,0.9862,0.4833,0.9901,0.4917,0.9878,0.9872
2920,LIM_10-9387,0.4406,0.9891,0.4516,0.9896,0.9888,0.9896,0.9898,0.9883,0.9898,0.9901,0.9896,0.9893,0.9893,0.9896,0.9898,0.9214,0.9896,0.9258,0.9896,0.9898,0.9812,0.9891,0.9789,0.9875,0.9878,0.369,0.9896,0.3846,0.9885,0.9883
2920,LIM_20-2188,0.2969,0.9891,0.2823,0.9885,0.9896,0.9859,0.9893,0.9867,0.9891,0.9904,0.9904,0.9896,0.9898,0.9891,0.9888,0.8664,0.9893,0.8586,0.9875,0.9896,0.9672,0.9888,0.9716,0.9862,0.987,0.2224,0.9891,0.2185,0.9836,0.9854
2920,LIM_20-3987,0.3958,0.9891,0.3411,0.9891,0.9888,0.9859,0.9898,0.9857,0.9891,0.9906,0.9906,0.9888,0.9901,0.9898,0.9898,0.8654,0.9893,0.8773,0.9898,0.9896,0.9648,0.9885,0.9685,0.9844,0.9846,0.2951,0.9885,0.257,0.9846,0.9846
2920,LIM_20-4981,0.407,0.9893,0.3706,0.9888,0.9898,0.987,0.9896,0.9875,0.9898,0.9893,0.9896,0.9896,0.9909,0.9885,0.9885,0.8544,0.9896,0.8646,0.9888,0.9885,0.9776,0.9891,0.9768,0.9872,0.988,0.3268,0.9888,0.3003,0.9862,0.9878
